csv_path,timestep_start,annotation
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,2430,Target object has been released.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50_Elastic_medium_upsampled.csv,2700,Target object has been released.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,0,"Fingers preparing towards item, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,270,"Gripping mechanism clamping item, using moderate force, causing controlled-yielding, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,540,"Gripping mechanism continue grasping target object, using balanced pressure, causing firm-contact, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,810,"Gripper picking up item, using balanced pressure, causing medium-deformation, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,1080,"Gripping mechanism rotating the object, by an angle of 30.0 degrees, using steady force, causing medium-deformation, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,1350,"Fingers continue rotating the object, by an angle of 30.0 degrees, using balanced pressure, causing controlled-yielding, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,1620,"Gripper pausing motion of target object, maintaining a stable hold, using controlled pressure, causing balanced-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,1890,"Gripper turning the object, by an angle of 45.0 degrees, using firm contact, causing moderate-compression, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,2160,"Fingers continue twisting the object, by an angle of 45.0 degrees, using moderate force, causing steady-resistance, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,2430,Target object has been dropped.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Crayola_Crayons_24_count_Elastic_medium_upsampled.csv,2700,Target object has been dropped.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,0,"End-effector advancing towards target object, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,270,"Gripping mechanism capturing target object, using moderate force, causing steady-resistance, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,540,"Gripper continue grasping the object, using firm contact, causing steady-resistance, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,810,"End-effector picking up target object, using balanced pressure, causing controlled-yielding, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,1080,"Gripping mechanism turning item, by an angle of 45.0 degrees, using firm contact, causing balanced-yielding, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,1350,"Gripper holding position of target object, maintaining a stable hold, using balanced pressure, causing controlled-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,1620,"End-effector continue pausing motion of target object, maintaining a stable hold, using moderate force, causing firm-contact."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,1890,"Fingers twisting item, by an angle of 45.0 degrees, using balanced pressure, causing steady-resistance, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,2160,"Gripper steadying target object, maintaining a stable hold, using moderate force, causing balanced-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,2430,"Fingers continue steadying target object, maintaining a stable hold, using firm contact, causing firm-contact."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Cole_Hardware_School_Bell_Solid_Brass_38_Elastic_medium_upsampled.csv,2700,Target object has been let go of.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,0,"Gripper initiating towards the object, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,270,"Gripping mechanism clasping the object, using controlled pressure, causing firm-contact, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,540,"End-effector continue gripping item, using moderate force, causing firm-contact, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,810,"Gripping mechanism lifting the object, using moderate force, causing moderate-compression, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,1080,"Gripping mechanism rotating target object, by an angle of 30.0 degrees, using steady force, causing firm-contact, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,1350,"End-effector continue twisting target object, by an angle of 30.0 degrees, using moderate force, causing steady-resistance, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,1620,"Fingers pausing motion of item, maintaining a stable hold, using controlled pressure, causing balanced-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,1890,"Gripper twisting target object, by an angle of 45.0 degrees, using moderate force, causing moderate-compression, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,2160,"Gripping mechanism continue turning target object, by an angle of 45.0 degrees, using steady force, causing medium-deformation, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,2430,Target object has been dropped.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Melissa_Doug_Pound_and_Roll_Elastic_medium_upsampled.csv,2700,The object has been released.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,0,"Gripping mechanism initiating towards target object, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,270,"End-effector gripping the object, using strong contact, causing rigid-contact, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,540,"Gripping mechanism continue capturing target object, using strong contact, causing strong-resistance, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,810,"Gripper raising target object, using significant force, causing hard-deformation, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,1080,"Gripping mechanism turning item, by an angle of 45.0 degrees, using strong force, causing hard-deformation, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,1350,"Gripper continue twisting the object, by an angle of 45.0 degrees, using firm pressure, causing significant-compression, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,1620,"End-effector steadying the object, maintaining a stable hold, using strong contact, causing hard-deformation."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,1890,"Gripper twisting the object, by an angle of 30.0 degrees, using heavy force, causing significant-compression, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,2160,"End-effector continue rotating target object, by an angle of 30.0 degrees, using intense pressure, causing firm-yielding, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,2430,"Fingers steadying item, maintaining a stable hold, using intense pressure, causing firm-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Perricone_MD_Neuropeptide_Firming_Moisturizer_Elastic_hard_upsampled.csv,2700,Item has been released.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,0,"Fingers preparing towards the object, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,270,"Gripping mechanism gripping the object, using gentle force, causing cushioned-contact, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,540,"Gripping mechanism continue grasping item, using cushioned pressure, causing cushioned-contact, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,810,"Gripping mechanism elevating target object, using soft contact, causing gentle-compression, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,1080,"Gripping mechanism rotating item, by an angle of 45.0 degrees, using gentle force, causing cushioned-contact, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,1350,"Gripping mechanism continue twisting item, by an angle of 45.0 degrees, using minimal force, causing slight-yielding, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,1620,"Gripping mechanism steadying the object, maintaining a stable hold, using subtle force, causing soft-deformation."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,1890,"Fingers twisting item, by an angle of 30.0 degrees, using cushioned pressure, causing gentle-compression, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,2160,"End-effector continue turning target object, by an angle of 30.0 degrees, using gentle force, causing soft-deformation, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,2430,"End-effector maintaining hold of item, maintaining a stable hold, using cushioned pressure, causing minimal-resistance."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Jarrow_Glucosamine_Chondroitin_Combination_120_Caps_Elastic_soft_upsampled.csv,2700,Target object has been dropped.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,0,"End-effector approaching towards item, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,270,"Gripper holding the object, using balanced pressure, causing steady-resistance, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,540,"Fingers continue squeezing item, using balanced pressure, causing moderate-compression, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,810,"Fingers lifting item, using firm contact, causing balanced-yielding, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,1080,"Fingers twisting the object, by an angle of 30.0 degrees, using moderate force, causing controlled-yielding, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,1350,"Fingers continue twisting the object, by an angle of 30.0 degrees, using controlled pressure, causing firm-contact, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,1620,"Gripping mechanism pausing motion of the object, maintaining a stable hold, using moderate force, causing steady-resistance."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,1890,"Gripping mechanism turning target object, by an angle of 45.0 degrees, using balanced pressure, causing controlled-yielding, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,2160,"Gripper continue turning item, by an angle of 45.0 degrees, using balanced pressure, causing controlled-yielding, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,2430,"Gripping mechanism steadying item, maintaining a stable hold, using moderate force, causing steady-resistance."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_medium_upsampled.csv,2700,"Gripping mechanism coming to rest with the object, using zero-force, causing shape-conservation."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,0,"Fingers aligning towards target object, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,270,"Gripping mechanism grasping the object, using strong contact, causing substantial-yielding, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,540,"Fingers continue grasping target object, using strong force, causing firm-yielding, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,810,"Gripping mechanism lifting target object, using intense pressure, causing strong-resistance, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,1080,"End-effector twisting item, by an angle of 45.0 degrees, using heavy force, causing hard-deformation, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,1350,"Gripper continue rotating item, by an angle of 45.0 degrees, using significant force, causing firm-yielding, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,1620,"Fingers steadying target object, maintaining a stable hold, using intense pressure, causing firm-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,1890,"Fingers turning target object, by an angle of 45.0 degrees, using intense pressure, causing significant-compression, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,2160,"Gripping mechanism continue rotating the object, by an angle of 45.0 degrees, using strong force, causing firm-yielding, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,2430,"Fingers holding position of target object, maintaining a stable hold, using firm pressure, causing substantial-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans_Elastic_hard_upsampled.csv,2700,The object has been dropped.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,0,"Fingers starting movement towards item, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,270,"Gripper grasping item, using strong contact, causing strong-resistance, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,540,"End-effector continue gripping the object, using intense pressure, causing substantial-yielding, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,810,"Gripping mechanism picking up the object, using heavy force, causing strong-resistance, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,1080,"Gripping mechanism rotating item, by an angle of 45.0 degrees, using strong force, causing rigid-contact, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,1350,"End-effector pausing motion of the object, maintaining a stable hold, using heavy force, causing substantial-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,1620,"Gripper continue holding position of target object, maintaining a stable hold, using firm pressure, causing firm-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,1890,"Gripping mechanism rotating item, by an angle of 45.0 degrees, using heavy force, causing significant-compression, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,2160,"Gripping mechanism maintaining hold of target object, maintaining a stable hold, using heavy force, causing strong-resistance."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,2430,"End-effector continue holding position of item, maintaining a stable hold, using strong contact, causing rigid-contact."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Blackcurrant_Lutein_Elastic_hard_upsampled.csv,2700,"End-effector slowing down motion of the object, using contactless method, causing maintaining shape."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,0,"Gripping mechanism starting movement towards item, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,270,"Fingers squeezing item, using slight force, causing lightly-yielding, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,540,"End-effector continue holding item, using cushioned pressure, causing lightly-yielding, with growing pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,810,"Fingers elevating the object, using cushioned pressure, causing soft-deformation, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,1080,"End-effector rotating the object, by an angle of 30.0 degrees, using soft contact, causing soft-deformation, with steady pressure."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,1350,"Gripper continue turning item, by an angle of 30.0 degrees, using subtle force, causing slight-yielding, with constant force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,1620,"Gripping mechanism maintaining hold of the object, maintaining a stable hold, using subtle force, causing lightly-yielding."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,1890,Target object has been dropped.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,2160,Target object has been dropped.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,2430,The object has been let go of.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor_Elastic_soft_upsampled.csv,2700,Target object has been released.
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/BlackBlack_Nintendo_3DSXL_Elastic_medium_upsampled.csv,0,"Gripper preparing towards item, to begin the task."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/BlackBlack_Nintendo_3DSXL_Elastic_medium_upsampled.csv,270,"Fingers capturing item, using balanced pressure, causing medium-deformation, with increasing force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/BlackBlack_Nintendo_3DSXL_Elastic_medium_upsampled.csv,540,"Fingers continue grasping item, using balanced pressure, causing firm-contact, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/BlackBlack_Nintendo_3DSXL_Elastic_medium_upsampled.csv,810,"Gripping mechanism elevating target object, using firm contact, causing controlled-yielding, with rising force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/BlackBlack_Nintendo_3DSXL_Elastic_medium_upsampled.csv,1080,"Fingers twisting item, by an angle of 45.0 degrees, using balanced pressure, causing medium-deformation, with unchanging force."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/BlackBlack_Nintendo_3DSXL_Elastic_medium_upsampled.csv,1350,"Fingers holding position of target object, maintaining a stable hold, using controlled pressure, causing medium-deformation."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/BlackBlack_Nintendo_3DSXL_Elastic_medium_upsampled.csv,1620,"End-effector continue steadying target object, maintaining a stable hold, using controlled pressure, causing medium-deformation."
/home/mdxuser/Genesis/main/data/picked_up_4/upsampled/BlackBlack_Nintendo_3DSXL_Elastic_medium_upsampled.csv,1890,The object has been let go of.
